section,key,value
store,storeName,EcoStore
store,storeDescription,Your trusted partner for quality products and exceptional service.
store,storeEmail,contact@ecostore.com
store,storePhone,+1 (555) 123-4567
store,storeAddress,123 Commerce Street, Business City, BC 12345
seo,siteTitle,EcoStore - Quality Products for Modern Life
seo,siteDescription,Discover amazing products with exceptional quality and service. Shop electronics, lifestyle products, and more.
seo,siteKeywords,ecommerce, electronics, lifestyle, quality products
seo,googleAnalyticsId,
seo,facebookPixelId,
seo,enableTracking,true
email,emailNotifications,true
email,orderConfirmations,true
email,marketingEmails,false
email,smtpHost,smtp.gmail.com
email,smtpPort,587
email,smtpUsername,
email,smtpPassword,
payment,currency,USD
payment,taxRate,8.5
payment,shippingRate,9.99
payment,freeShippingThreshold,50.00
theme,primaryColor,#3b82f6
theme,secondaryColor,#64748b
theme,accentColor,#10b981
theme,darkMode,false
security,twoFactorAuth,false
security,sessionTimeout,30
security,passwordRequirements,true
